"id","text","tweet_url","language","type","author_name","author_username","view_count","bookmark_count","favorite_count","retweet_count","reply_count","quote_count","created_at","source","hashtags","urls","media_type","media_urls"
"1786793620298674371","1/11 We explored the wild west of #Web3 quests &amp; found some 💎 - here's the alpha!

Galxe, Zealy, Layer3, TaskOn, Questn, soquest, Rabbithole, Wonderverse, and Tide: Our exploration of Web3 #QuestPlatforms begins with these contenders. Lets check out their strengths &amp; offerings! https://t.co/UyZ0btPz3i","https://x.com/wallet_hunter/status/1786793620298674371","en","Origin","Wallet Hunter","wallet_hunter","335","0","3","0","1","1","2024-05-04 21:52:50","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#Web3, #QuestPlatforms","","photo","https://pbs.twimg.com/media/GMvwAUnXUAAWbdG.jpg"
"1786793650623598803","10/11 @Tide_web3 : Our Bonus tool

While still in its nascent stages, Tide provides some unique features such as dynamic NFTs, Soulbound referral campaigns, &amp; protocol conversion metrics.

Though atm it only gives rewards in the form of #NFT and #ERC20 Tokens https://t.co/gfcua1NSdz","https://x.com/wallet_hunter/status/1786793650623598803","en","Reply","Wallet Hunter","wallet_hunter","165","0","2","0","1","0","2024-05-04 21:52:57","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#NFT, #ERC20","","photo","https://pbs.twimg.com/media/GMv2dHJWUAArEyB.jpg"
"1786793653660201293","11/11 Conclusion - Best platform depends on your specific needs! Consider factors like traffic size, features, budget, &amp; posting criteria
Galxe may rule traffic share, but Wonderverse thrives on #community
Free or paid, each platform offers unique strengths.

#web3marketing #web3","https://x.com/wallet_hunter/status/1786793653660201293","en","Reply","Wallet Hunter","wallet_hunter","94","0","1","0","0","0","2024-05-04 21:52:58","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#community, #web3marketing, #web3","","",""
"1783528831371956722","Gm folks   

Our hunt for #interns is still on in web3.   

Here are the open positions -   
- Marketing Intern 
- Graphic Designer Intern 
- Content Writer Intern 
- Video Editor Intern  

Looks like your gig? 👀 Apply here   
https://t.co/GqQYn8TBGE

#hiringfreshers https://t.co/7TVxZkNeBe","https://x.com/wallet_hunter/status/1783528831371956722","en","Tweet","Wallet Hunter","wallet_hunter","371","0","7","0","3","0","2024-04-25 21:39:44","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#interns, #hiringfreshers","https://forms.gle/jWCd2PpvTv67RKDB9","photo","https://pbs.twimg.com/media/GMBd7nKX0AAEs_3.jpg"
"1782409055006278078","1/9 💼 Navigating the complexities of #Web3Marketing can feel like a daunting task. In our pursuit of the ideal email marketing tool for one of our partner in RWA Spaces, we stumbled upon @EmailOctopus.

Here is what we found intriguing about Email Octopus:

 #Web3Marketingtool https://t.co/tFH4pziM4E","https://x.com/wallet_hunter/status/1782409055006278078","en","Origin","Wallet Hunter","wallet_hunter","281","4","8","1","2","0","2024-04-22 19:30:08","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#Web3Marketing, #Web3Marketingtool","","photo","https://pbs.twimg.com/media/GLxgcVDXsAAAW3w.jpg"
"1782409081023496392","We were thrilled to discover Email Octopus offers a generous 20% lifetime discount for non-profit organizations!  💫

This makes it an excellent option for non-profits to spread their message and connect with their communities.","https://x.com/wallet_hunter/status/1782409081023496392","en","Reply","Wallet Hunter","wallet_hunter","113","0","1","0","1","0","2024-04-22 19:30:15","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","",""
"1782409083825332653","9/9 Our exploration of @emailoctopus revealed valuable resources for Email marketing in Web3 📩

We'll continue sharing these insights and hacks to help you navigate the exciting world of #Web3Marketing

If you have any tool suggestions feel free to share 💭⤵️
 #Web3Marketingtool","https://x.com/wallet_hunter/status/1782409083825332653","en","Reply","Wallet Hunter","wallet_hunter","110","0","1","0","0","0","2024-04-22 19:30:15","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#Web3Marketing, #Web3Marketingtool","","",""
"1782409055006278078","1/9 💼 Navigating the complexities of #Web3Marketing can feel like a daunting task. In our pursuit of the ideal email marketing tool for one of our partner in RWA Spaces, we stumbled upon @EmailOctopus.

Here is what we found intriguing about Email Octopus:

 #Web3Marketingtool https://t.co/tFH4pziM4E","https://x.com/wallet_hunter/status/1782409055006278078","en","Origin","Wallet Hunter","wallet_hunter","281","4","8","1","2","0","2024-04-22 19:30:08","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#Web3Marketing, #Web3Marketingtool","","photo","https://pbs.twimg.com/media/GLxgcVDXsAAAW3w.jpg"
"1782409077609373710","7/9 With All these features for free for up to 2500 subscribers and competitive pricing, it rivals competitors like Mailchimp, MoonMail, and SendX.🏆

Email Octopus paid model starts from $8.

Perfect for anyone to get their email marketing game started without breaking the bank! https://t.co/fz94N4b5Iv","https://x.com/wallet_hunter/status/1782409077609373710","en","Reply","Wallet Hunter","wallet_hunter","43","0","0","0","1","0","2024-04-22 19:30:14","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","photo","https://pbs.twimg.com/media/GLxhfqDWYAAeQP6.jpg"
"1782409081023496392","We were thrilled to discover Email Octopus offers a generous 20% lifetime discount for non-profit organizations!  💫

This makes it an excellent option for non-profits to spread their message and connect with their communities.","https://x.com/wallet_hunter/status/1782409081023496392","en","Reply","Wallet Hunter","wallet_hunter","113","0","1","0","1","0","2024-04-22 19:30:15","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","",""
